Company Name,Website URL
			
Hinterland Studio, https://www.hinterland.com/			
Hollow Tree Games, https://www.hollowtreegames.com/	
Hololabs, https://hololabs.org/			
Hyper Hippo Entertainment, https://hyperhippo.com/				
Igda Victoria Chapter,https://igda.org/				
IGG	, https://www.igg.com/			
Interdimensional Games, https://www.idgi1.ca/			
Ivy Road, https://www.ivyroad.fun/	
Jetpack Interactive, https://www.jetpackinteractive.ca/			
Kabam, https://kabam.com/				
Kano Apps, https://www.kano.ca/		
Kerberos Productions, https://www.kerberos-productions.com/				
Kettle Games, https://www.kettle.games/				
Klei Entertainment, https://www.klei.com/				
Koolhaus Games, https://www.koolhausgames.com/			
LBC Studio, https://lbcstudios.ca/				
Lifetap Studios, https://www.lifetapstudios.com/				
LocalThunk, https://www.playbalatro.com/				
Loligo Games Canada	,https://www.loligo.games/				
Maison Bap, https://bapbap.gg/			
Meowza Games, https://meowza.org/				
Metalhead (Electronic Arts), https://www.ea.com/ea-studios/metalhead			
Metanaut, https://metanautlabs.com/		
Minmax Games, https://www.minmax-games.com/		
MrSuicideSheep, https://mailchi.mp/mrsuicidesheep.com/sheepythegame			
Next Level Games, https://nextlevelgames.com/				
Nickervision Studios, https://www.adamvisionstudios.com/		


Hildring Studios, https://www.hildringstudio.com/																				
Northway Games, https://www.northwaygames.com
Ocarina Studios, https://www.ocarinastudios.com/
Offworld Industries, https://www.offworldindustries.com/
Okanagan Game Developers Association, https://www.ogda.ca/
Orange Bridge Studios, https://orangebridge.studio/
Original Fire Games, https://originalfiregames.com/
Ossian Studios, https://ossianstudios.com/
Over the Moon Games, https://www.overthemoongames.com
Peartree Games, https://peartree.games/
Piranha Games, https://piranhagames.com/
Popcap (Electronic Arts), https://www.ea.com/ea-studios/popcap
PrecisionOS, https://www.precisionostech.com
Quiver Games, https://www.quivergamesvancouver.com/
RAC7 (Apple), https://www.rac7.com
Raccoopack Media, https://raccoopack.media/
RaceRocks, https://www.racerocks3d.ca
Radial Games, https://www.radialgames.com
RattleAxe Games, https://rattleaxegames.ca/main
Red Hook Studios (Behaviour Interactive), https://redhookgames.com/
Red Nexus Games, https://www.rednexus.games/
Redcell Games, https://redcellgames.com/
Redstone Interactive, https://redstone.gg
Relic Entertainment (SEGA), https://www.relic.com
Respawn Entertainment (Electronic Arts), https://respawn.com/
Righteous Hammer Games, https://www.righteoushammer.com
Ripple Effect (Electronic Arts), https://www.ea.com/ea-studios/ripple-effect/
Rogue Harbour Game Studio, https://rogueharbour.com/
Sad Panda Studios, https://www.sadpandastudios.com
Samobee Games, https://samobee.itch.io
Sillysoft, https://sillysoft.net/
Silverstring Media, https://www.silverstringmedia.com
Simply Sweet Games, https://simplysweetgames.ca/
SkyBox Labs, https://www.skyboxlabs.com
Smoking Gun Interactive, https://www.smokingguninc.com
Sonderlust Studios, https://www.generationexilegame.com/
Space Bullet Dynamics Corporation, http://www.space-bullet.com/
Spacewave Software, https://www.spacewavesoftware.com
Stillfront Group, https://stillfront.com/
Studio Capital Mangement, http://studiocapitalmanagement.com/
Sunset Visitor, https://www.sunsetvisitor.studio/
Superbrothers, https://www.superbrothershq.com
SuperNatural Studios, https://www.supernaturalgamestudios.com
Take-Two Interactive Software, https://take2games.com/
Tavernlight Games, https://tavernlightgames.com/
The Coalition (Microsoft Studios), https://www.thecoalitionstudio.com
This Game Studio, https://www.thisgamestudio.com
Thorium, https://www.undermine.game
Tidepool Games, https://www.tidepoolgames.ca/
Tiny Ghost Studios, https://tinyghoststudios.com/
Tiny Mob Games, https://www.tinymobgames.com
Trepang Studios, http://www.trepang2.com/
Tuatara Games, https://www.tuataragames.com
Vankrupt Games, https://www.vankrupt.com/
Vblank Entertainment, https://www.vblank.com
Visual Concepts Blueshift (2K), https://vcentertainment.com/studios/blueshift/
Wishes Unlimited, https://greg.style/
Women in Games International (WIGI) Vancouver, https://www.getwigi.com
